date,item_id,total_sales,total_units_ordered
2025-06-01,0,309.99,1
2025-06-01,3,338,2
2025-06-01,4,617.99,3
2025-06-01,9,219,1
2025-06-01,12,534,3
2025-06-01,13,131.99,1
2025-06-01,15,6551.98,51
2025-06-01,17,674.89,7
2025-06-01,18,2317.13,27
2025-06-01,20,296.94,3
2025-06-01,21,22767.21,258
2025-06-01,22,1487.88,12
2025-06-01,23,1140,5
2025-06-01,24,894,3
2025-06-01,25,745,5
2025-06-01,26,444,3
2025-06-01,27,12159.24,76
2025-06-01,28,1792,14
2025-06-01,29,2299.77,23
2025-06-01,31,175,1
2025-06-01,32,990,5
2025-06-01,34,609.78,3
2025-06-01,43,134.78,1
2025-06-01,44,175,1
2025-06-01,49,198,1
2025-06-01,51,0,0
2025-06-01,52,354,3
2025-06-01,54,279.99,1
2025-06-01,56,176.62,1
2025-06-01,58,195,3
2025-06-01,59,130,2
2025-06-01,61,239.99,1
2025-06-01,62,767.94,6
2025-06-01,64,2380.56,25
2025-06-01,65,512,4
2025-06-01,66,168,1
2025-06-01,79,0,0
2025-06-01,111,0,0
2025-06-01,134,159.99,1
2025-06-01,137,740,5
2025-06-01,139,218,1
2025-06-01,141,356,2
2025-06-01,145,328,1
2025-06-01,146,138,1
2025-06-01,148,108.99,1
2025-06-01,150,767.92,8
2025-06-01,154,417,3
2025-06-01,161,12867.92,198
2025-06-01,164,88.99,1
2025-06-01,170,0,0
2025-06-01,264,168,1
2025-06-02,0,657,3
2025-06-02,3,507,3
2025-06-02,4,597,3
2025-06-02,5,0,0
2025-06-02,9,0,0
2025-06-02,12,534,3
2025-06-02,13,263.98,2
2025-06-02,14,0,0
2025-06-02,15,13056,102
2025-06-02,17,1735.23,19
2025-06-02,18,1612.28,19
2025-06-02,20,395.92,4
2025-06-02,21,19163.41,218
2025-06-02,22,1810.8,15
2025-06-02,23,1669.98,7
2025-06-02,24,1192,4
2025-06-02,25,298,2
2025-06-02,26,1628,11
2025-06-02,27,15341.49,96
2025-06-02,28,3773.4,30
2025-06-02,29,1699.83,17
2025-06-02,31,175,1
2025-06-02,32,594,3
2025-06-02,34,0,0
2025-06-02,39,159,1
2025-06-02,43,0,0
2025-06-02,44,0,0
2025-06-02,48,268.84,1
2025-06-02,49,0,0
2025-06-02,52,236,2
2025-06-02,54,0,0
2025-06-02,56,0,0
2025-06-02,58,130,2
2025-06-02,59,650,10
2025-06-02,61,0,0
2025-06-02,62,383.97,3
2025-06-02,64,3531.43,37
2025-06-02,65,1523.04,12
2025-06-02,66,672,4
2025-06-02,134,159.99,1
2025-06-02,136,0,0
2025-06-02,137,592,4
2025-06-02,139,218,1
2025-06-02,141,178,1
2025-06-02,142,256,2
2025-06-02,145,0,0
2025-06-02,146,0,0
2025-06-02,147,316,2
2025-06-02,148,0,0
2025-06-02,149,0,0
2025-06-02,150,95.99,1
2025-06-02,154,695,5
2025-06-02,160,198,1
2025-06-02,161,3897.8,55
2025-06-02,164,0,0
2025-06-02,169,0,0
2025-06-02,252,0,0
2025-06-02,253,221.26,1
2025-06-02,264,0,0
2025-06-03,0,657,3
2025-06-03,1,199.99,1
2025-06-03,3,169,1
2025-06-03,4,199,1
2025-06-03,7,185.99,1
2025-06-03,9,219,1
2025-06-03,12,178,1
2025-06-03,15,11008,86
2025-06-03,17,4245.79,52
2025-06-03,18,1591.26,19
2025-06-03,19,118,1
2025-06-03,20,395.92,4
2025-06-03,21,6300.14,78
2025-06-03,22,1115.91,9
2025-06-03,23,1287.96,5
2025-06-03,24,596,2
2025-06-03,25,149,1
2025-06-03,26,1755.05,12
2025-06-03,27,7022.01,44
2025-06-03,28,3456,27
2025-06-03,29,1193.6,12
2025-06-03,31,195.45,1
2025-06-03,32,0,0
2025-06-03,33,542.42,2
2025-06-03,34,416,2
2025-06-03,39,0,0
2025-06-03,44,175,1
2025-06-03,48,854.97,3
2025-06-03,54,175.99,1
2025-06-03,58,65,1
2025-06-03,59,0,0
2025-06-03,61,239.99,1
2025-06-03,62,511.96,4
2025-06-03,64,2652.84,28
2025-06-03,65,1408,11
2025-06-03,66,168,1
2025-06-03,134,0,0
2025-06-03,137,0,0
2025-06-03,139,0,0
2025-06-03,141,0,0
2025-06-03,142,128,1
2025-06-03,145,328,1
2025-06-03,147,158,1
2025-06-03,148,108.99,1
2025-06-03,150,767.92,8
2025-06-03,151,148,1
2025-06-03,154,0,0
2025-06-03,160,0,0
2025-06-03,161,7657,118
2025-06-03,176,218,1
2025-06-03,253,0,0
2025-06-03,254,172.54,1
2025-06-03,264,168,1
2025-06-04,0,0,0
2025-06-04,1,0,0
2025-06-04,3,0,0
2025-06-04,4,199,1
2025-06-04,9,0,0
2025-06-04,12,0,0
2025-06-04,13,0,0
2025-06-04,15,13440,105
2025-06-04,17,3415.88,42
2025-06-04,18,959.79,11
2025-06-04,19,0,0
2025-06-04,20,-98.98,-1
2025-06-04,21,437.64,7
2025-06-04,22,771.96,6
2025-06-04,23,2052,9
2025-06-04,24,1192,4
2025-06-04,25,178,1
2025-06-04,26,1755.05,12
2025-06-04,27,7519.53,47
2025-06-04,28,3840,30
2025-06-04,29,1799.82,18
2025-06-04,31,0,0
2025-06-04,32,594,3
2025-06-04,33,271.21,1
2025-06-04,38,94,1
2025-06-04,44,0,0
2025-06-04,48,0,0
2025-06-04,51,0,0
2025-06-04,54,351.98,2
2025-06-04,58,-65,-1
2025-06-04,59,0,0
2025-06-04,62,-127.99,-1
2025-06-04,64,3301.64,35
2025-06-04,65,768,6
2025-06-04,66,168,1
2025-06-04,133,243.99,1
2025-06-04,134,159.99,1
2025-06-04,137,0,0
2025-06-04,141,890,5
2025-06-04,142,128,1
2025-06-04,144,152.99,1
2025-06-04,148,108.99,1
2025-06-04,150,561.58,6
2025-06-04,151,0,0
2025-06-04,154,128,1
2025-06-04,160,198,1
2025-06-04,161,8536.96,132
2025-06-04,176,0,0
2025-06-04,258,463.62,3
2025-06-04,265,258,1
2025-06-05,0,1095,5
2025-06-05,3,507,3
2025-06-05,4,199,1
2025-06-05,7,676.34,4
2025-06-05,12,712,4
2025-06-05,15,10880,85
2025-06-05,17,7191.4,95
2025-06-05,18,1951.03,23
2025-06-05,21,-163.97,-1
2025-06-05,22,602.97,4
2025-06-05,23,1140,5
2025-06-05,24,2980,10
2025-06-05,25,137.22,1
2025-06-05,26,1184,8
2025-06-05,27,7679.52,48
2025-06-05,28,1077.25,5
2025-06-05,29,3660.43,37
2025-06-05,31,195.45,1
2025-06-05,32,198,1
2025-06-05,34,208,1
2025-06-05,45,154,1
2025-06-05,49,198,1
2025-06-05,54,0,0
2025-06-05,58,65,1
2025-06-05,59,65,1
